id,material,name,location.city,location.city_id,location.country,location.country id,latitude,longitude,purposes.abandoned,purposes.air traffic control tower,purposes.belltower,purposes.bridge,purposes.casino,purposes.commercial,purposes.education,purposes.exhibition,purposes.government,purposes.hospital,purposes.hotel,purposes.industrial,purposes.library,purposes.multiple,purposes.museum,purposes.observation,purposes.office,purposes.other,purposes.religious,purposes.residential,purposes.retail,purposes.serviced apartments,purposes.telecommunications,statistics.floors above,statistics.height,statistics.number of purposes,statistics.rank,status.current,status.completed.is completed,status.completed.year,status.started.is started,status.started.year
12,steel,The Illinois,Chicago,1539,US,163,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,528,1609.359985,4,1,vision,TRUE,0,TRUE,0
62,composite,Chicago Spire,Chicago,1539,US,163,41.88988876,-87.61486053,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,150,609.5999756,1,2,never completed,TRUE,0,TRUE,2007
68,composite,Miglin-Beitler Skyneedle,Chicago,1539,US,163,41.8816185,-87.63435364,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,125,609.4899902,1,3,vision,TRUE,0,TRUE,0
98,composite,One World Trade Center,New York City,1641,US,163,40.71311188,-74.01335144,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,94,541.2999878,1,4,completed,TRUE,2014,TRUE,2006
14269,concrete,Central Park Tower,New York City,1641,US,163,40.76636124,-73.9809494,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,95,541.0200195,3,5,under construction,TRUE,2019,TRUE,2014
16334,steel,World Trade Building,New York City,1641,US,163,40.75925827,-73.98947144,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,132,518,1,6,vision,TRUE,0,TRUE,0
139,concrete,7 South Dearborn,Chicago,1539,US,163,41.88167953,-87.62890625,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,112,477.5499878,2,7,vision,TRUE,0,TRUE,0
169,steel,Willis Tower,Chicago,1539,US,163,41.8788681,-87.63594818,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,108,442.1400146,1,8,completed,TRUE,1974,TRUE,1970
14320,concrete,111 West 57th Street,New York City,1641,US,163,40.76480103,-73.97754669,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,80,438.2999878,1,9,under construction,TRUE,2018,TRUE,2015
187,composite,Bank of Southwest Tower,Houston,1593,US,163,29.75864983,-95.36681366,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,82,427.8699951,1,10,vision,TRUE,0,TRUE,0
13227,concrete,432 Park Avenue,New York City,1641,US,163,40.76155853,-73.97186279,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,85,425.5,1,11,completed,TRUE,2015,TRUE,2011
